id,x,y,type
222,80,24,1
223,80,25,1
224,80,26,1
225,82,24,1
226,82,25,1
227,82,26,1
228,90,24,1
229,90,25,1
230,90,26,1
231,94,22,1
232,94,23,1
233,94,25,1
234,94,26,1
235,98,22,1
236,98,23,1
237,98,24,1
238,98,25,1
239,98,26,1
240,72,27,1
241,74,27,1
242,76,27,1
243,78,27,1
244,80,27,1
245,82,27,1
246,84,27,1
247,86,27,1
248,88,27,1
249,90,27,1
250,92,27,1
251,94,27,1
252,96,27,1
253,98,27,1
254,100,27,1
255,102,27,1
256,104,27,1
257,106,27,1
258,72,28,1
259,76,28,1
260,86,28,1
261,98,28,1
262,72,29,1
263,74,29,1
264,76,29,1
265,78,29,1
266,80,29,1
267,82,29,1
268,84,29,1
269,86,29,1
270,88,29,1
271,90,29,1
272,92,29,1
273,94,29,1
274,96,29,1
275,98,29,1
276,100,29,1
277,102,29,1
278,104,29,1
279,104,30,1
280,106,30,1
281,108,30,1
282,110,30,1
283,112,30,1
284,114,30,1
285,116,30,1
286,118,30,1
287,120,30,1
288,106,28,1
289,108,28,1
290,110,28,1
291,112,28,1
292,114,28,1
293,116,28,1
294,118,28,1
295,120,28,1
296,122,28,1
297,124,28,1
298,126,28,1
299,128,28,1
300,122,29,1
301,122,30,1
302,122,31,1
303,122,32,1
304,124,32,1
305,126,32,1
306,128,32,1
307,130,32,1
308,132,32,1
309,134,32,1
310,136,32,1
311,138,32,1
312,140,32,1
313,142,32,1
314,144,32,1
315,146,32,1
316,148,32,1
317,150,32,1
318,152,32,1
319,154,32,1
320,156,32,1
321,158,32,1
322,130,31,1
323,130,30,1
324,130,29,1
325,132,29,1
326,134,29,1
327,136,29,1
328,138,29,1
329,140,29,1
330,142,29,1
331,144,29,1
332,146,29,1
333,148,29,1
334,150,29,1
335,152,29,1
336,154,29,1
337,156,29,1
338,158,29,1
339,134,30,1
340,134,31,1
341,146,30,1
342,146,31,1
343,150,30,1
344,150,31,1
345,154,30,1
346,154,31,1
347,158,30,1
348,158,31,1
349,130,33,1
350,130,34,1
351,130,35,1
352,130,36,4
353,134,33,1
354,134,34,3
355,146,33,1
356,146,34,4
357,150,33,1
358,150,34,1
359,150,35,1
360,150,36,3
361,154,33,1
362,154,34,3
363,158,33,1
364,158,34,3
829,130,28,1
